country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,17.1,16.8,16.1,16.6,17.6,19,19.6,20.9,22.1,22,21.3,19.8,20
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,4.29,,4.21,3.91,3.69,3.61,3.52,3.27
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,14.9,13.5,13.2,12.8,12.5,10.7,9.71,9.55,8.2,7.8,8.03,8.02,8.76,8.46,9.49,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,32.4,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,18.5,60.5,62.5,21.2,20.7,21.4,20.4,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,,,,,,,42.1
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,12.3,10.9,11.5,11.9,11.8,17.5,17.8,16,14.9,13,12,10.5,11.2,10.3
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88,8.77,8.32,7.07,8.85,12.1,13.2,11.8,11.2,11.1,9.91,9.2,9.41,9.15
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,6.25,5.5,6.69,5.66,6.21,5.79,5.12,4.74,5.89,4.99,6.26,6.17,5.37,5.91
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,33.1,30.7,27.7,25.5,25.2,24.8,24.2,25.1,24.7,24.3,24.9
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,13.9,13.7,12.8,,11.7,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,23.5,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,21.3,24.9,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,11.9,10.3,11.5,8.27,9.88,9.53,10.2,10.6,9.94,10.5,10.3,8.47,9.08
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,30.2,27.4,28,28.5,22.2,20.6,21.3,21.8,21.5,21.5,21.6,21.2,20.9,20.1,20.3,19.9
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,21.3,21.1,21.9,22.1,22.2,21.8,21.1,20.5,20.3,19.7,19.6,18.7
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,29.2,29.3,28.6,30.9,27.8,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,17.8,18.7,17.6,16.5,17.6,18.4,17.5,16.8,20.5,19.8
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,17.7,16.5,,16.7
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,17.4
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,32,30.5,,33.4,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,4.86,5.26,4.04,3.53,3.44,4.11,4.28,4.31,4.85,5.65,5.53,4.67,4.57,4
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,11.1,10.7,10.9,11.2,14.1,13.4,13.2,13.6,11.9,11.4,11.3,12,11.8
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1.42,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9.18,11.3,4.56,4.41,4.13,5,4.9,5.04,5.16,5.63,5.47,5.03,5.37,4.59
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,34.9,33.3,31.5,31.1,32,,31,30.9,30.4,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,44.7,,,,,33,36.9,36.1,32.2,30.8,29.8,29.1,29.1,28.8,28.1,29.1,27.3,29.9,31.3,32.1,32.1,32.3,33
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,20.9,21,17.6,17,18.8,18.4,17.1,17.2
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,21.7,20.5,18.9,19.2,19.6,17.6,17,33.1,34.7,39.2,36.1,38.8,35.5,37.7,18.1
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,14.5,20.4,23,18.7,17.4,17.1,16.4,15.4,16.1,15.4,16.6,16.8,18.5,16.9,17.7
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,25,24.8,24.8,25.3,24.4,24.8,24.3,23.3,,22.2,21.7
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,13.9,12.6,10.6,9.04,10.1,10.8,11.5,11.8,12.2,12,11,10.5,9.48
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,11.1,10.6,11.2,10.2,11.2,11.4,12.6,13.9,14.1,12.3,11.3,10.6,9.34
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,0.01,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,18.8,16.8,14.8,13.3,11.6,13.9,16.6,17.5,16.8,17,17,18.1,17.4,15.2
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,14.2,12.7,12,11.8,12,12,12.4,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,,,30.8
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,20.6,18.8,18.4,18.3,16.1,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,21.6,21.2,21.6,21.7,19.8,21,20.1,18.1,17.6
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,7.57,5.98,6.37,4.93,4.44,,3.95,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17.1,15.8,14.4,12.6,11.1,12.6,14.1,13.8,13.8,13.7,12.8,13.7,12.3,12.1
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26,6.56,8.93,8.52,6.7,6.5,7.46,7.11,7.08,9.28,9.24,9.42,9.51,8.03,6.52
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,31.4,34.6,27.5,36.5,17.5,34.3,33.3,32.6,,,,,32.2,32,31.3,30.5,31.2,31.2
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.8,13,11.8,12,14.3,18.1,17.8,18.3,18.6,18.6,17.1,15.6,14.6,13.3
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,,,26.4,27.7,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51,7.87,14.2,9.34,7.48,7.82,9.6,7.67,7.53,7.83,7.44,7.16,6.72,6.49,6.15
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28,6.59,7.21,7.18,6.23,6.29,8.05,6.75,6.84,6.81,7.33,7.4,7.37,7.03,6.51
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,9.01,9.01,,,,,,,,14.9,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,12.5,12.6,12.8,14.2,13.3,13.6,15,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,24.3,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,39.2,37,34.9,32.3,29.6,28.7,25.5,24.8,23.9,23.9,24.2
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,,,,6.95,,,14.5,5.91,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.6,18.3,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,8.42,8.55,11.9,12.1,13.2,13.6,14.3,13.9,13.2,11.9,11.1,10.9,10.3
United States,,,,,,,,,,,,,,,,,,,19,18.8,18.1,17.1,16.2,15.8,15.5,16.2,17.1,17.2,16.8,16.8,15.8,15.6,16.9,19.6,19.9,18.9,18.3,18.2,16.8,15.5,15,13.8
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,19.3,20.5,19.7,18.8,17.8,18.1,17.2,17.7,18,18.2,18.7,18.7,17.9
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,19.2,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,9.44,9.99,9.73,0.6,0.6,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,,,,
