country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584,,,,7.23,10.4,10.6,11.2,10.4,12.9,,13,11.3,12.1,11.6,9.15,6.23,5.38,5.76,16.7,19.3,13.1,10.9,9.09,7.86,6.24,7.42,6.19
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,2.72,,,,,,1.81,,,,,,,,1.65,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,4.92,,,,,,,,,,,,,,4.8,,,,,,,,4.1,3.33,,,,,,4.29,,,4.93,,3.7,
Finland,,,,,,,,,,3.77,2.57,2.83,3.11,2.52,1.48,2.27,4.42,7.08,8.21,6.6,4.77,5.23,5.38,5.54,5.25,5.34,5.98,5.71,4.93,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04,8.87
France,,,,,,,,,,,,1.59,1.7,1.59,1.71,2.86,3,3.45,3.79,4.2,4.23,5.28,5.99,6.09,7.64,8.49,8.68,8.65,8.17,7.31,,7.16,8.09,9.61,11,9.98,10.6,11,10.4,10.4,8.53,7,7.77,7.59,8.08,7.81,7.86,7.27,6.72,8.68,8.69,8.53,9.44,10,10.5,10.8,10.2,9.45
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,,,12.5,,,,,14.4,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,15.3,11.1,11.6,14,11.5,13.4,14.8,15.2,13.9,16.8,18.1,17.9,16.7,16.1,16.5,14,13.4,14.2,
Germany,,,,,,,,,,,,,,,,,,,,,,,,5.75,5.66,5.83,5.54,6.09,5.27,4.54,4.04,,,,,,,,,,,,,,,,,,,8.1,7.37,6.03,5.55,5.5,5.28,4.97,4.45,4.12
Ghana,,,,,,,,,,,0.8,0.8,1.4,1.1,1.2,1.3,1.3,1.2,1.3,1.2,1.5,1.3,0.9,0.9,0.6,0.7,0.8,,,,,,3.7,,,,,,7.5,9.4,10.1,,,,,,4.5,,,,4.85,,,1.97,,7.04,,
