Crash Date,crashdate,MonthDay,dayofweek,year,month,day,week,TotalDeaths
1102007,1/10/07,110,Wednesday,2007,1,10,2,71
1102008,1/10/08,110,Thursday,2008,1,10,2,81
1102009,1/10/09,110,Saturday,2009,1,10,2,115
1102010,1/10/10,110,Sunday,2010,1,10,3,53
1102011,1/10/11,110,Monday,2011,1,10,3,66
1102012,1/10/12,110,Tuesday,2012,1,10,3,62
1102013,1/10/13,110,Thursday,2013,1,10,2,66
1102014,1/10/14,110,Friday,2014,1,10,2,115
1102015,1/10/15,110,Saturday,2015,1,10,2,88
1102016,1/10/16,110,Sunday,2016,1,10,3,96
1112006,1/11/06,111,Wednesday,2006,1,11,3,83
1112007,1/11/07,111,Thursday,2007,1,11,2,81
1112008,1/11/08,111,Friday,2008,1,11,2,103
1112009,1/11/09,111,Sunday,2009,1,11,3,71
1112010,1/11/10,111,Monday,2010,1,11,3,61
1112011,1/11/11,111,Tuesday,2011,1,11,3,63
1112012,1/11/12,111,Wednesday,2012,1,11,3,74
1112013,1/11/13,111,Friday,2013,1,11,2,83
1112014,1/11/14,111,Saturday,2014,1,11,2,96
1112015,1/11/15,111,Sunday,2015,1,11,3,82
1112016,1/11/16,111,Monday,2016,1,11,3,65
1122006,1/12/06,112,Thursday,2006,1,12,3,101
1122007,1/12/07,112,Friday,2007,1,12,2,107
1122008,1/12/08,112,Saturday,2008,1,12,2,103
1122009,1/12/09,112,Monday,2009,1,12,3,52
1122010,1/12/10,112,Tuesday,2010,1,12,3,67
1122011,1/12/11,112,Wednesday,2011,1,12,3,55
1122012,1/12/12,112,Thursday,2012,1,12,3,91
1122013,1/12/13,112,Saturday,2013,1,12,2,98
1122014,1/12/14,112,Sunday,2014,1,12,3,82
1122015,1/12/15,112,Monday,2015,1,12,3,66
1122016,1/12/16,112,Tuesday,2016,1,12,3,86
1132006,1/13/06,113,Friday,2006,1,13,3,105
1132007,1/13/07,113,Saturday,2007,1,13,2,123
1132008,1/13/08,113,Sunday,2008,1,13,3,84
1132009,1/13/09,113,Tuesday,2009,1,13,3,76
1132010,1/13/10,113,Wednesday,2010,1,13,3,68
1132011,1/13/11,113,Thursday,2011,1,13,3,51
1132012,1/13/12,113,Friday,2012,1,13,3,84
1132013,1/13/13,113,Sunday,2013,1,13,3,78
1132014,1/13/14,113,Monday,2014,1,13,3,76
1132015,1/13/15,113,Tuesday,2015,1,13,3,92
1132016,1/13/16,113,Wednesday,2016,1,13,3,72
1142006,1/14/06,114,Saturday,2006,1,14,3,121
1142007,1/14/07,114,Sunday,2007,1,14,3,111
1142008,1/14/08,114,Monday,2008,1,14,3,84
1142009,1/14/09,114,Wednesday,2009,1,14,3,73
1142010,1/14/10,114,Thursday,2010,1,14,3,87
1142011,1/14/11,114,Friday,2011,1,14,3,71
1142012,1/14/12,114,Saturday,2012,1,14,3,97
1142013,1/14/13,114,Monday,2013,1,14,3,64
1142014,1/14/14,114,Tuesday,2014,1,14,3,61
1142015,1/14/15,114,Wednesday,2015,1,14,3,90
1142016,1/14/16,114,Thursday,2016,1,14,3,89
1152006,1/15/06,115,Sunday,2006,1,15,4,99
1152007,1/15/07,115,Monday,2007,1,15,3,85
1152008,1/15/08,115,Tuesday,2008,1,15,3,50
1152009,1/15/09,115,Thursday,2009,1,15,3,74
1152010,1/15/10,115,Friday,2010,1,15,3,70
1152011,1/15/11,115,Saturday,2011,1,15,3,103
1152012,1/15/12,115,Sunday,2012,1,15,4,78
1152013,1/15/13,115,Tuesday,2013,1,15,3,81
1152014,1/15/14,115,Wednesday,2014,1,15,3,60
1152015,1/15/15,115,Thursday,2015,1,15,3,74
1152016,1/15/16,115,Friday,2016,1,15,3,102
1162006,1/16/06,116,Monday,2006,1,16,4,71
1162007,1/16/07,116,Tuesday,2007,1,16,3,102
1162008,1/16/08,116,Wednesday,2008,1,16,3,74
1162009,1/16/09,116,Friday,2009,1,16,3,90
1162010,1/16/10,116,Saturday,2010,1,16,3,76
1162011,1/16/11,116,Sunday,2011,1,16,4,67
1162012,1/16/12,116,Monday,2012,1,16,4,59
1162013,1/16/13,116,Wednesday,2013,1,16,3,78
1162014,1/16/14,116,Thursday,2014,1,16,3,79
1162015,1/16/15,116,Friday,2015,1,16,3,91
1162016,1/16/16,116,Saturday,2016,1,16,3,103
1172006,1/17/06,117,Tuesday,2006,1,17,4,102
1172007,1/17/07,117,Wednesday,2007,1,17,3,91
1172008,1/17/08,117,Thursday,2008,1,17,3,68
1172009,1/17/09,117,Saturday,2009,1,17,3,105
1172010,1/17/10,117,Sunday,2010,1,17,4,73
1172011,1/17/11,117,Monday,2011,1,17,4,61
1172012,1/17/12,117,Tuesday,2012,1,17,4,72
1172013,1/17/13,117,Thursday,2013,1,17,3,62
1172014,1/17/14,117,Friday,2014,1,17,3,74
1172015,1/17/15,117,Saturday,2015,1,17,3,87
1172016,1/17/16,117,Sunday,2016,1,17,4,73
1182006,1/18/06,118,Wednesday,2006,1,18,4,88
1182007,1/18/07,118,Thursday,2007,1,18,3,65
1182008,1/18/08,118,Friday,2008,1,18,3,92
1182009,1/18/09,118,Sunday,2009,1,18,4,89
1182010,1/18/10,118,Monday,2010,1,18,4,68
1182011,1/18/11,118,Tuesday,2011,1,18,4,61
1182012,1/18/12,118,Wednesday,2012,1,18,4,73
1182013,1/18/13,118,Friday,2013,1,18,3,91
1182014,1/18/14,118,Saturday,2014,1,18,3,91
1182015,1/18/15,118,Sunday,2015,1,18,4,115
1182016,1/18/16,118,Monday,2016,1,18,4,61
1192006,1/19/06,119,Thursday,2006,1,19,4,76
1192007,1/19/07,119,Friday,2007,1,19,3,121
1192008,1/19/08,119,Saturday,2008,1,19,3,78
1192009,1/19/09,119,Monday,2009,1,19,4,79
1192010,1/19/10,119,Tuesday,2010,1,19,4,70
1192011,1/19/11,119,Wednesday,2011,1,19,4,68
1192012,1/19/12,119,Thursday,2012,1,19,4,63
1192013,1/19/13,119,Saturday,2013,1,19,3,112
1192014,1/19/14,119,Sunday,2014,1,19,4,86
1192015,1/19/15,119,Monday,2015,1,19,4,74
1192016,1/19/16,119,Tuesday,2016,1,19,4,63
1202006,1/20/06,120,Friday,2006,1,20,4,98
1202007,1/20/07,120,Saturday,2007,1,20,3,143
1202008,1/20/08,120,Sunday,2008,1,20,4,69
1202009,1/20/09,120,Tuesday,2009,1,20,4,70
1202010,1/20/10,120,Wednesday,2010,1,20,4,59
1202011,1/20/11,120,Thursday,2011,1,20,4,67
1202012,1/20/12,120,Friday,2012,1,20,4,76
1202013,1/20/13,120,Sunday,2013,1,20,4,89
1202014,1/20/14,120,Monday,2014,1,20,4,64
1202015,1/20/15,120,Tuesday,2015,1,20,4,78
1202016,1/20/16,120,Wednesday,2016,1,20,4,78
1212006,1/21/06,121,Saturday,2006,1,21,4,110
1212007,1/21/07,121,Sunday,2007,1,21,4,131
1212008,1/21/08,121,Monday,2008,1,21,4,88
1212009,1/21/09,121,Wednesday,2009,1,21,4,85
1212010,1/21/10,121,Thursday,2010,1,21,4,71
1212011,1/21/11,121,Friday,2011,1,21,4,95
1212012,1/21/12,121,Saturday,2012,1,21,4,91
1212013,1/21/13,121,Monday,2013,1,21,4,62
1212014,1/21/14,121,Tuesday,2014,1,21,4,72
1212015,1/21/15,121,Wednesday,2015,1,21,4,67
1212016,1/21/16,121,Thursday,2016,1,21,4,88
1222006,1/22/06,122,Sunday,2006,1,22,5,92
1222007,1/22/07,122,Monday,2007,1,22,4,78
1222008,1/22/08,122,Tuesday,2008,1,22,4,87
1222009,1/22/09,122,Thursday,2009,1,22,4,81
1222010,1/22/10,122,Friday,2010,1,22,4,65
1222011,1/22/11,122,Saturday,2011,1,22,4,94
1222012,1/22/12,122,Sunday,2012,1,22,5,82
1222013,1/22/13,122,Tuesday,2013,1,22,4,63
1222014,1/22/14,122,Wednesday,2014,1,22,4,59
1222015,1/22/15,122,Thursday,2015,1,22,4,77
1222016,1/22/16,122,Friday,2016,1,22,4,87
1232006,1/23/06,123,Monday,2006,1,23,5,79
1232007,1/23/07,123,Tuesday,2007,1,23,4,63
1232008,1/23/08,123,Wednesday,2008,1,23,4,86
1232009,1/23/09,123,Friday,2009,1,23,4,83
1232010,1/23/10,123,Saturday,2010,1,23,4,80
1232011,1/23/11,123,Sunday,2011,1,23,5,68
1232012,1/23/12,123,Monday,2012,1,23,5,61
1232013,1/23/13,123,Wednesday,2013,1,23,4,77
1232014,1/23/14,123,Thursday,2014,1,23,4,76
1232015,1/23/15,123,Friday,2015,1,23,4,93
1232016,1/23/16,123,Saturday,2016,1,23,4,82
1242006,1/24/06,124,Tuesday,2006,1,24,5,84
1242007,1/24/07,124,Wednesday,2007,1,24,4,80
1242008,1/24/08,124,Thursday,2008,1,24,4,59
1242009,1/24/09,124,Saturday,2009,1,24,4,94
1242010,1/24/10,124,Sunday,2010,1,24,5,65
1242011,1/24/11,124,Monday,2011,1,24,5,56
1242012,1/24/12,124,Tuesday,2012,1,24,5,68
1242013,1/24/13,124,Thursday,2013,1,24,4,69
1242014,1/24/14,124,Friday,2014,1,24,4,90
1242015,1/24/15,124,Saturday,2015,1,24,4,103
1242016,1/24/16,124,Sunday,2016,1,24,5,80
1252006,1/25/06,125,Wednesday,2006,1,25,5,80
1252007,1/25/07,125,Thursday,2007,1,25,4,104
1252008,1/25/08,125,Friday,2008,1,25,4,109
1252009,1/25/09,125,Sunday,2009,1,25,5,88
1252010,1/25/10,125,Monday,2010,1,25,5,64
1252011,1/25/11,125,Tuesday,2011,1,25,5,54
1252012,1/25/12,125,Wednesday,2012,1,25,5,63
1252013,1/25/13,125,Friday,2013,1,25,4,101
1252014,1/25/14,125,Saturday,2014,1,25,4,77
1252015,1/25/15,125,Sunday,2015,1,25,5,79
1252016,1/25/16,125,Monday,2016,1,25,5,69
1262006,1/26/06,126,Thursday,2006,1,26,5,90
1262007,1/26/07,126,Friday,2007,1,26,4,108
1262008,1/26/08,126,Saturday,2008,1,26,4,121
1262009,1/26/09,126,Monday,2009,1,26,5,76
1262010,1/26/10,126,Tuesday,2010,1,26,5,57
1262011,1/26/11,126,Wednesday,2011,1,26,5,53
1262012,1/26/12,126,Thursday,2012,1,26,5,60
1262013,1/26/13,126,Saturday,2013,1,26,4,87
1262014,1/26/14,126,Sunday,2014,1,26,5,78
1262015,1/26/15,126,Monday,2015,1,26,5,67
1262016,1/26/16,126,Tuesday,2016,1,26,5,67
1272006,1/27/06,127,Friday,2006,1,27,5,107
1272007,1/27/07,127,Saturday,2007,1,27,4,116
1272008,1/27/08,127,Sunday,2008,1,27,5,98
1272009,1/27/09,127,Tuesday,2009,1,27,5,73
1272010,1/27/10,127,Wednesday,2010,1,27,5,58
1272011,1/27/11,127,Thursday,2011,1,27,5,87
1272012,1/27/12,127,Friday,2012,1,27,5,82
1272013,1/27/13,127,Sunday,2013,1,27,5,95
1272014,1/27/14,127,Monday,2014,1,27,5,77
1272015,1/27/15,127,Tuesday,2015,1,27,5,63
1272016,1/27/16,127,Wednesday,2016,1,27,5,73
1282006,1/28/06,128,Saturday,2006,1,28,5,128
1282007,1/28/07,128,Sunday,2007,1,28,5,101
1282008,1/28/08,128,Monday,2008,1,28,5,81
1282009,1/28/09,128,Wednesday,2009,1,28,5,72
1282010,1/28/10,128,Thursday,2010,1,28,5,64
1282011,1/28/11,128,Friday,2011,1,28,5,74
1282012,1/28/12,128,Saturday,2012,1,28,5,105
1282013,1/28/13,128,Monday,2013,1,28,5,95
1282014,1/28/14,128,Tuesday,2014,1,28,5,62
1282015,1/28/15,128,Wednesday,2015,1,28,5,69
1282016,1/28/16,128,Thursday,2016,1,28,5,72
1292006,1/29/06,129,Sunday,2006,1,29,6,95
1292007,1/29/07,129,Monday,2007,1,29,5,77
1292008,1/29/08,129,Tuesday,2008,1,29,5,62
1292009,1/29/09,129,Thursday,2009,1,29,5,71
1292010,1/29/10,129,Friday,2010,1,29,5,77
1292011,1/29/11,129,Saturday,2011,1,29,5,92
1292012,1/29/12,129,Sunday,2012,1,29,6,88
1292013,1/29/13,129,Tuesday,2013,1,29,5,70
1292014,1/29/14,129,Wednesday,2014,1,29,5,51
1292015,1/29/15,129,Thursday,2015,1,29,5,70
1292016,1/29/16,129,Friday,2016,1,29,5,101
1302006,1/30/06,130,Monday,2006,1,30,6,79
1302007,1/30/07,130,Tuesday,2007,1,30,5,82
1302008,1/30/08,130,Wednesday,2008,1,30,5,83
1302009,1/30/09,130,Friday,2009,1,30,5,98
1302010,1/30/10,130,Saturday,2010,1,30,5,64
1302011,1/30/11,130,Sunday,2011,1,30,6,86
1302012,1/30/12,130,Monday,2012,1,30,6,64
1302013,1/30/13,130,Wednesday,2013,1,30,5,68
1302014,1/30/14,130,Thursday,2014,1,30,5,94
1302015,1/30/15,130,Friday,2015,1,30,5,92
1302016,1/30/16,130,Saturday,2016,1,30,5,99
1312006,1/31/06,131,Tuesday,2006,1,31,6,81
1312007,1/31/07,131,Wednesday,2007,1,31,5,97
1312008,1/31/08,131,Thursday,2008,1,31,5,91
1312009,1/31/09,131,Saturday,2009,1,31,5,88
1312010,1/31/10,131,Sunday,2010,1,31,6,65
1312011,1/31/11,131,Monday,2011,1,31,6,67
1312012,1/31/12,131,Tuesday,2012,1,31,6,82
1312013,1/31/13,131,Thursday,2013,1,31,5,64
1312014,1/31/14,131,Friday,2014,1,31,5,79
1312015,1/31/15,131,Saturday,2015,1,31,5,105
1312016,1/31/16,131,Sunday,2016,1,31,6,92
2012006,2/1/06,201,Wednesday,2006,2,1,6,66
2012007,2/1/07,201,Thursday,2007,2,1,5,91
2012008,2/1/08,201,Friday,2008,2,1,5,95
2012009,2/1/09,201,Sunday,2009,2,1,6,99
2012010,2/1/10,201,Monday,2010,2,1,6,67
2012011,2/1/11,201,Tuesday,2011,2,1,6,77
2012012,2/1/12,201,Wednesday,2012,2,1,6,77
2012013,2/1/13,201,Friday,2013,2,1,5,92
2012014,2/1/14,201,Saturday,2014,2,1,5,106
2012015,2/1/15,201,Sunday,2015,2,1,6,87
2012016,2/1/16,201,Monday,2016,2,1,6,99
2022006,2/2/06,202,Thursday,2006,2,2,6,95
2022007,2/2/07,202,Friday,2007,2,2,5,115
2022008,2/2/08,202,Saturday,2008,2,2,5,127
2022009,2/2/09,202,Monday,2009,2,2,6,89
2022010,2/2/10,202,Tuesday,2010,2,2,6,64
2022011,2/2/11,202,Wednesday,2011,2,2,6,34
2022012,2/2/12,202,Thursday,2012,2,2,6,70
2022013,2/2/13,202,Saturday,2013,2,2,5,96
2022014,2/2/14,202,Sunday,2014,2,2,6,90
2022015,2/2/15,202,Monday,2015,2,2,6,72
2022016,2/2/16,202,Tuesday,2016,2,2,6,82
2032006,2/3/06,203,Friday,2006,2,3,6,110
2032007,2/3/07,203,Saturday,2007,2,3,5,130
2032008,2/3/08,203,Sunday,2008,2,3,6,115
2032009,2/3/09,203,Tuesday,2009,2,3,6,46
2032010,2/3/10,203,Wednesday,2010,2,3,6,61
2032011,2/3/11,203,Thursday,2011,2,3,6,87
2032012,2/3/12,203,Friday,2012,2,3,6,72
2032013,2/3/13,203,Sunday,2013,2,3,6,107
2032014,2/3/14,203,Monday,2014,2,3,6,69
2032015,2/3/15,203,Tuesday,2015,2,3,6,70
2032016,2/3/16,203,Wednesday,2016,2,3,6,68
2042006,2/4/06,204,Saturday,2006,2,4,6,131
2042007,2/4/07,204,Sunday,2007,2,4,6,124
2042008,2/4/08,204,Monday,2008,2,4,6,100
2042009,2/4/09,204,Wednesday,2009,2,4,6,80
2042010,2/4/10,204,Thursday,2010,2,4,6,83
2042011,2/4/11,204,Friday,2011,2,4,6,83
2042012,2/4/12,204,Saturday,2012,2,4,6,92
2042013,2/4/13,204,Monday,2013,2,4,6,92
2042014,2/4/14,204,Tuesday,2014,2,4,6,71
2042015,2/4/15,204,Wednesday,2015,2,4,6,82
2042016,2/4/16,204,Thursday,2016,2,4,6,95
2052006,2/5/06,205,Sunday,2006,2,5,7,100
2052007,2/5/07,205,Monday,2007,2,5,6,94
2052008,2/5/08,205,Tuesday,2008,2,5,6,76
2052009,2/5/09,205,Thursday,2009,2,5,6,81
2052010,2/5/10,205,Friday,2010,2,5,6,80
2052011,2/5/11,205,Saturday,2011,2,5,6,98
2052012,2/5/12,205,Sunday,2012,2,5,7,94
2052013,2/5/13,205,Tuesday,2013,2,5,6,70
2052014,2/5/14,205,Wednesday,2014,2,5,6,64
2052015,2/5/15,205,Thursday,2015,2,5,6,81
2052016,2/5/16,205,Friday,2016,2,5,6,91
2062006,2/6/06,206,Monday,2006,2,6,7,93
2062007,2/6/07,206,Tuesday,2007,2,6,6,90
2062008,2/6/08,206,Wednesday,2008,2,6,6,87
2062009,2/6/09,206,Friday,2009,2,6,6,84
2062010,2/6/10,206,Saturday,2010,2,6,6,70
2062011,2/6/11,206,Sunday,2011,2,6,7,91
2062012,2/6/12,206,Monday,2012,2,6,7,67
2062013,2/6/13,206,Wednesday,2013,2,6,6,81
2062014,2/6/14,206,Thursday,2014,2,6,6,46
2062015,2/6/15,206,Friday,2015,2,6,6,93
2062016,2/6/16,206,Saturday,2016,2,6,6,97
2072006,2/7/06,207,Tuesday,2006,2,7,7,92
2072007,2/7/07,207,Wednesday,2007,2,7,6,97
2072008,2/7/08,207,Thursday,2008,2,7,6,84
2072009,2/7/09,207,Saturday,2009,2,7,6,108
2072010,2/7/10,207,Sunday,2010,2,7,7,66
2072011,2/7/11,207,Monday,2011,2,7,7,52
2072012,2/7/12,207,Tuesday,2012,2,7,7,59
2072013,2/7/13,207,Thursday,2013,2,7,6,55
2072014,2/7/14,207,Friday,2014,2,7,6,73
2072015,2/7/15,207,Saturday,2015,2,7,6,92
2072016,2/7/16,207,Sunday,2016,2,7,7,91
2082006,2/8/06,208,Wednesday,2006,2,8,7,81
2082007,2/8/07,208,Thursday,2007,2,8,6,105
2082008,2/8/08,208,Friday,2008,2,8,6,113
2082009,2/8/09,208,Sunday,2009,2,8,7,101
2082010,2/8/10,208,Monday,2010,2,8,7,61
2082011,2/8/11,208,Tuesday,2011,2,8,7,65
2082012,2/8/12,208,Wednesday,2012,2,8,7,61
2082013,2/8/13,208,Friday,2013,2,8,6,74
2082014,2/8/14,208,Saturday,2014,2,8,6,68
2082015,2/8/15,208,Sunday,2015,2,8,7,106
2082016,2/8/16,208,Monday,2016,2,8,7,80
2092006,2/9/06,209,Thursday,2006,2,9,7,101
2092007,2/9/07,209,Friday,2007,2,9,6,98
2092008,2/9/08,209,Saturday,2008,2,9,6,108
2092009,2/9/09,209,Monday,2009,2,9,7,67
2092010,2/9/10,209,Tuesday,2010,2,9,7,62
2092011,2/9/11,209,Wednesday,2011,2,9,7,76
2092012,2/9/12,209,Thursday,2012,2,9,7,61
2092013,2/9/13,209,Saturday,2013,2,9,6,73
2092014,2/9/14,209,Sunday,2014,2,9,7,90
2092015,2/9/15,209,Monday,2015,2,9,7,50
2092016,2/9/16,209,Tuesday,2016,2,9,7,66
2102006,2/10/06,210,Friday,2006,2,10,7,102
2102007,2/10/07,210,Saturday,2007,2,10,6,118
2102008,2/10/08,210,Sunday,2008,2,10,7,88
2102009,2/10/09,210,Tuesday,2009,2,10,7,65
2102010,2/10/10,210,Wednesday,2010,2,10,7,51
2102011,2/10/11,210,Thursday,2011,2,10,7,57
2102012,2/10/12,210,Friday,2012,2,10,7,97
2102013,2/10/13,210,Sunday,2013,2,10,7,82
2102014,2/10/14,210,Monday,2014,2,10,7,47
2102015,2/10/15,210,Tuesday,2015,2,10,7,78
2102016,2/10/16,210,Wednesday,2016,2,10,7,88
2112006,2/11/06,211,Saturday,2006,2,11,7,116
2112007,2/11/07,211,Sunday,2007,2,11,7,137
2112008,2/11/08,211,Monday,2008,2,11,7,76
2112009,2/11/09,211,Wednesday,2009,2,11,7,67
2112010,2/11/10,211,Thursday,2010,2,11,7,55
2112011,2/11/11,211,Friday,2011,2,11,7,61
2112012,2/11/12,211,Saturday,2012,2,11,7,90
2112013,2/11/13,211,Monday,2013,2,11,7,48
2112014,2/11/14,211,Tuesday,2014,2,11,7,59
2112015,2/11/15,211,Wednesday,2015,2,11,7,67
2112016,2/11/16,211,Thursday,2016,2,11,7,78
2122006,2/12/06,212,Sunday,2006,2,12,8,99
2122007,2/12/07,212,Monday,2007,2,12,7,93
2122008,2/12/08,212,Tuesday,2008,2,12,7,78
2122009,2/12/09,212,Thursday,2009,2,12,7,61
2122010,2/12/10,212,Friday,2010,2,12,7,69
2122011,2/12/11,212,Saturday,2011,2,12,7,89
2122012,2/12/12,212,Sunday,2012,2,12,8,95
2122013,2/12/13,212,Tuesday,2013,2,12,7,64
2122014,2/12/14,212,Wednesday,2014,2,12,7,60
2122015,2/12/15,212,Thursday,2015,2,12,7,78
2122016,2/12/16,212,Friday,2016,2,12,7,113
2132006,2/13/06,213,Monday,2006,2,13,8,74
2132007,2/13/07,213,Tuesday,2007,2,13,7,71
2132008,2/13/08,213,Wednesday,2008,2,13,7,83
2132009,2/13/09,213,Friday,2009,2,13,7,102
2132010,2/13/10,213,Saturday,2010,2,13,7,58
2132011,2/13/11,213,Sunday,2011,2,13,8,91
2132012,2/13/12,213,Monday,2012,2,13,8,78
2132013,2/13/13,213,Wednesday,2013,2,13,7,66
2132014,2/13/14,213,Thursday,2014,2,13,7,55
2132015,2/13/15,213,Friday,2015,2,13,7,82
2132016,2/13/16,213,Saturday,2016,2,13,7,127
2142006,2/14/06,214,Tuesday,2006,2,14,8,79
2142007,2/14/07,214,Wednesday,2007,2,14,7,74
2142008,2/14/08,214,Thursday,2008,2,14,7,78
2142009,2/14/09,214,Saturday,2009,2,14,7,96
2142010,2/14/10,214,Sunday,2010,2,14,8,73
2142011,2/14/11,214,Monday,2011,2,14,8,66
2142012,2/14/12,214,Tuesday,2012,2,14,8,77
2142013,2/14/13,214,Thursday,2013,2,14,7,78
2142014,2/14/14,214,Friday,2014,2,14,7,80
2142015,2/14/15,214,Saturday,2015,2,14,7,112
2142016,2/14/16,214,Sunday,2016,2,14,8,105
2152006,2/15/06,215,Wednesday,2006,2,15,8,89
